"filename", "language", "Python", "Shell Script", "Markdown", "JSON", "YAML", "comment", "blank", "total"
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P2-22-sessiondb-import.md", "Markdown", 0, 0, 33, 0, 0, 0, 12, 45
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P2-23-memory-runtime-docs.md", "Markdown", 0, 0, 87, 0, 0, 0, 32, 119
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-01-tool-risk-taxonomy.md", "Markdown", 0, 0, 38, 0, 0, 0, 14, 52
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-02-team-tool-policy-hook.md", "Markdown", 0, 0, 45, 0, 0, 0, 16, 61
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/artifacts/memory-performance-baseline-v0.json", "JSON", 0, 0, 0, 54, 0, 0, 1, 55
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/artifacts/platform-foundation-smoke-v0.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 20
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/artifacts/tool-risk-taxonomy-v0.json", "JSON", 0, 0, 0, 80, 0, 0, 1, 81
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p2-20-isolation-test-suite.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 3
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p2-21-memory-performance-baseline.md", "Markdown", 0, 0, 29, 0, 0, 0, 10, 39
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p2-22-sessiondb-import.md", "Markdown", 0, 0, 28, 0, 0, 0, 10, 38
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p2-23-memory-runtime-docs.md", "Markdown", 0, 0, 25, 0, 0, 0, 10, 35
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p2-estimate-reconciliation.md", "Markdown", 0, 0, 14, 0, 0, 0, 8, 22
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-01-tool-risk-taxonomy.md", "Markdown", 0, 0, 27, 0, 0, 0, 10, 37
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-02-team-tool-policy-hook.md", "Markdown", 0, 0, 32, 0, 0, 0, 10, 42
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GAStep/01-work-package-register.md", "Markdown", 0, 0, 0, 0, 0, 0, -1, -1
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/memory/performance.py", "Python", 53, 0, 0, 0, 0, 2, 10, 65
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/sessiondb_import.py", "Python", 145, 0, 0, 0, 0, 12, 28, 185
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/tool_policy.py", "Python", 184, 0, 0, 0, 0, 4, 25, 213
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/tool_risk.py", "Python", 110, 0, 0, 0, 0, 2, 17, 129
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_memory_performance_baseline.py", "Python", 32, 0, 0, 0, 0, 0, 14, 46
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_memory_runtime_docs.py", "Python", 36, 0, 0, 0, 0, 0, 13, 49
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_platform_foundation_suite.py", "Python", 5, 0, 0, 0, 0, 0, 0, 5
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_sessiondb_import.py", "Python", 132, 0, 0, 0, 0, 0, 22, 154
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_team_tool_policy_hook.py", "Python", 124, 0, 0, 0, 0, 0, 38, 162
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_tool_risk_taxonomy.py", "Python", 47, 0, 0, 0, 0, 0, 15, 62
"Total", "-", 1027, 5, 392, 154, 9, -17, 388, 1958
